year_month,date,product,region,customer_segment,customer_id,revenue,cogs,opex,gross_profit,operating_income,n_customers,active_subscriptions,churned_count,new_subscriptions,subscription_status,revenue_type
2023-01,2023-01-01,Basic,AMER,Startup,Basic_AMER_Startup_0,218543.05,86340.12,59705.83,132202.94,72497.11,198,168,18,23,active,subscription
2023-01,2023-01-01,Basic,AMER,SMB,Basic_AMER_SMB_0,114290.07,41726.03,23502.74,72564.04,49061.3,353,320,25,48,active,subscription
2023-01,2023-01-01,Basic,AMER,Mid-Market,Basic_AMER_Mid-Market_0,286140.39,98201.81,65561.32,187938.58,122377.26,68,54,3,20,active,subscription
2023-01,2023-01-01,Basic,AMER,Enterprise,Basic_AMER_Enterprise_0,328273.7,111037.33,97931.63,217236.37,119304.75,140,128,16,26,active,one_time
2023-01,2023-01-01,Basic,EMEA,Startup,Basic_EMEA_Startup_0,303479.7,102740.52,61180.48,200739.18,139558.7,395,344,37,49,active,subscription
2023-01,2023-01-01,Basic,EMEA,SMB,Basic_EMEA_SMB_0,459194.18,149641.28,122261.47,309552.9,187291.43,11,8,0,2,active,one_time
2023-01,2023-01-01,Basic,EMEA,Mid-Market,Basic_EMEA_Mid-Market_0,252389.36,85689.98,73865.76,166699.38,92833.62,360,334,21,50,active,subscription
2023-01,2023-01-01,Basic,EMEA,Enterprise,Basic_EMEA_Enterprise_0,224904.78,73574.2,63619.66,151330.58,87710.92,419,394,46,65,active,subscription
2023-01,2023-01-01,Basic,APAC,Startup,Basic_APAC_Startup_0,57036.38,19525.84,13659.54,37510.54,23851.0,145,101,19,34,active,subscription
2023-01,2023-01-01,Basic,APAC,SMB,Basic_APAC_SMB_0,83320.09,27982.77,17629.44,55337.33,37707.88,144,131,13,17,active,subscription
2023-01,2023-01-01,Basic,APAC,Mid-Market,Basic_APAC_Mid-Market_0,349665.06,125575.14,79539.07,224089.92,144550.85,44,35,2,10,churned,subscription
2023-01,2023-01-01,Basic,APAC,Enterprise,Basic_APAC_Enterprise_0,396935.23,138681.06,100136.15,258254.17,158118.02,24,17,2,3,churned,subscription
2023-01,2023-01-01,Basic,LATAM,Startup,Basic_LATAM_Startup_0,303474.01,112149.31,64923.15,191324.7,126401.55,240,192,30,34,active,subscription
2023-01,2023-01-01,Basic,LATAM,SMB,Basic_LATAM_SMB_0,122549.58,48158.28,34413.4,74391.3,39977.9,450,326,43,64,active,one_time
2023-01,2023-01-01,Basic,LATAM,Mid-Market,Basic_LATAM_Mid-Market_0,195955.26,61178.96,46172.9,134776.3,88603.41,199,144,14,36,churned,one_time
2023-01,2023-01-01,Basic,LATAM,Enterprise,Basic_LATAM_Enterprise_0,53128.46,18652.06,12843.33,34476.4,21633.07,174,151,13,25,active,subscription
2023-01,2023-01-01,Basic,INDIA,Startup,Basic_INDIA_Startup_0,301145.9,102505.13,62183.38,198640.77,136457.39,451,424,33,89,active,subscription
2023-01,2023-01-01,Basic,INDIA,SMB,Basic_INDIA_SMB_0,66599.13,24039.38,16667.62,42559.74,25892.12,63,44,5,14,active,subscription
